시도명,기타병원,내과/외과,노인/치매병원,동물병원,비뇨기과,산부인과,산후조리원,소아과,수의업-기타,수의업-종합,신경외과,안과의원,약국,언어치료,유사의료업기타,응급구조대,이비인후과의원,일반병원,접골원,정형/성형외과,제대혈,조산원,종합병원,척추교정치료,치과기공소,치과병원,치과의원,침구원,탕제원,피부과,한방병원,한약방,한의원,혈액원
강원도,0.04669703872437358,0.13287775246772968,0.011769172361427487,0.032270311313591496,0.006454062262718299,0.007593014426727411,0.004935459377372817,0.02201974183750949,,0.030751708428246014,0.004176157934700076,0.009491268033409264,0.2767653758542141,0.00683371298405467,0.008352315869400152,0.002277904328018223,0.011009870918754746,0.03644646924829157,,0.015565679574791193,,,0.015945330296127564,0.004176157934700076,0.011769172361427487,0.0037965072133637054,0.12832194381169323,0.004555808656036446,0.0007593014426727411,0.008731966590736523,0.0015186028853454822,0.015945330296127564,0.13591495823842065,0.002277904328018223
경기도,0.04992046411528025,0.11078880883316179,0.009825021053616543,0.04641152802470291,0.010246093384485825,0.012725741555160475,0.008655375690090764,0.036960793487414614,0.00028071488724618694,0.024328623561336204,0.004865724712267241,0.011790025264339853,0.21100402358005052,0.008608589875549733,0.007906802657434266,0.0014035744362309347,0.019182183961822776,0.03583793393842987,9.357162908206232e-05,0.027603630579208383,4.678581454103116e-05,0.0003275007017872181,0.007017872181154674,0.003321792832413212,0.01408253017685038,0.008702161504631796,0.15949284177037523,0.0012164311780668102,0.0014503602507719658,0.015439318798540283,0.0030878637597080566,0.009965378497239637,0.13624029194348275,0.001169645363525779
경상남도,0.05248341041624774,0.12728735169917554,0.017494470138749246,0.03237482404986929,0.008847778001206515,0.012467323547154635,0.0034184596822843354,0.023929217775990348,,0.032575909913533076,0.0034184596822843354,0.010255379046853006,0.20450432334606877,0.01045646491051679,0.006233661773577317,0.0018097727729740598,0.01769555600241303,0.0400160868690931,,0.018902071184395738,,0.0008043434546551378,0.0070380052282324555,0.004826060727930827,0.02131510154836115,0.013673838729137341,0.1278906092901669,0.0016086869093102755,0.017092298411421677,0.007641262819223809,0.0016086869093102755,0.014478182183792479,0.1564448019304243,0.001407601045646491
경상북도,0.04950495049504951,0.14585848828785317,0.02463173146582951,0.03984544795943009,0.009900990099009901,0.009900990099009901,0.0026563631972953395,0.019801980198019802,,0.0330837961844965,0.003863801014247766,0.007727602028495532,0.22096112050229413,0.006037189084762135,0.005071238831200193,0.001207437816952427,0.010383965225790872,0.04346776141028737,,0.013523303549867182,,,0.010625452789181358,0.004105288577638252,0.01931900507123883,0.008693552282057475,0.12798840859695726,0.003622313450857281,0.012798840859695725,0.0070031393383240765,0.0033808258874667954,0.02197536826853417,0.132335184737986,0.0007244626901714562
광주광역시,0.05102675793403858,0.1403235843186061,0.010889856876166771,0.02209085252022402,0.00715619166148102,0.010578718108276292,0.0009334163036714375,0.019912881144990666,,0.023646546359676415,0.00373366521468575,0.008400746733042938,0.2149968886123211,0.006533914125700062,0.0031113876789047915,0.0012445550715619166,0.012756689483509645,0.03391412570006223,,0.015556938394523958,,0.00031113876789047915,0.006222775357809583,0.006533914125700062,0.023957685127566894,0.006845052893590542,0.17828251400124456,0.0012445550715619166,,0.011823273179838207,0.035158680771624144,0.024891101431238332,0.11698817672682016,0.0009334163036714375
대구광역시,0.04524690015227322,0.15988688274961932,0.01000652599521427,0.0258864476832717,0.008483793778551229,0.0110941918642593,0.0026103980857080703,0.022840983249945615,,0.03001957798564281,0.005003262997607135,0.008483793778551229,0.1892538612138351,0.008701326952360235,0.008266260604742223,0.0006525995214270176,0.018707852947574505,0.029366978464215793,0.00021753317380900588,0.02523384816184468,,0.00043506634761801175,0.009353926473787253,0.001740265390472047,0.03132477702849685,0.006525995214270176,0.14639982597346096,0.001957798564281053,0.001957798564281053,0.009353926473787253,0.001957798564281053,0.01740265390472047,0.16053948227104634,0.0010876658690450293
대전광역시,0.06455820019563091,0.13205086403651778,0.010107597000326051,0.025105966742745355,0.008803390935767852,0.011737854581023801,0.008477339419628301,0.025432018258884904,,0.023475709162047602,0.007499184871209651,0.011085751548744702,0.1966090642321487,0.012389957613302902,0.008477339419628301,0.00097815454841865,0.013368112161721553,0.03945223345288556,,0.022171503097489404,,0.0006521030322791001,0.006194978806651451,0.004238669709814151,0.029996739484838605,0.005216824258232801,0.14444082164982067,0.0026084121291164004,0.0019563090968373,0.012716009129442452,0.0032605151613955006,0.019563090968373,0.1467231822627975,0.0006521030322791001
부산광역시,0.06395797929862505,0.14861733353931716,0.017457129615325195,0.02363664452340491,0.010196199598331531,0.010350687471033524,0.002626293835933879,0.0261084504866368,,0.030897574540398577,0.0041711725629538085,0.01065966321643751,0.17457129615325198,0.004325660435655801,0.004325660435655801,0.0001544878727019929,0.012204541943457438,0.03862196817549823,0.0003089757454039858,0.02765332921365673,,0.0009269272362119574,0.005716051289973737,0.0009269272362119574,0.021628302178279005,0.005098099799165766,0.16267572995519852,0.0010814151089139502,0.014676347906689325,0.01328595705237139,0.0016993665997219218,0.007415417889695659,0.15232504248416498,0.0016993665997219218
서울특별시,0.056801984902074644,0.11011983318376181,0.004381565749881223,0.029404001478118565,0.009027081243731194,0.014886765559837407,0.006545953650424959,0.02591986485773109,0.00015836984638124902,0.014833975611043658,0.0044871456474687215,0.015414665047774903,0.18893522673283006,0.00490946523781872,0.006862693343187457,0.0012669587710499922,0.020271340336799875,0.03367998733041229,5.278994879374967e-05,0.048725122736630946,,0.00021115979517499867,0.00480388534023122,0.0025339175420999844,0.018318112231431136,0.009713350578049939,0.16396558095338648,0.0013197487198437418,0.00316739692762498,0.02375547695718735,0.0024811275933062345,0.011877738478593676,0.15926727551074277,0.0019004381565749882
세종특별자치시,0.028328611898016998,0.13314447592067988,0.0113314447592068,0.036827195467422094,0.0056657223796034,0.0084985835694051,0.0028328611898017,0.0339943342776204,,0.0169971671388102,0.0084985835694051,0.014164305949008499,0.2804532577903683,0.0056657223796034,0.0056657223796034,,0.0113314447592068,0.031161473087818695,,0.0113314447592068,,,0.0084985835694051,0.0028328611898017,0.0084985835694051,0.0056657223796034,0.1529745042492918,,0.0028328611898017,0.014164305949008499,,0.0169971671388102,0.141643059490085,
울산광역시,0.05107661492238358,0.11316975463194792,0.011517275913870806,0.030545818728092138,0.012018027040560842,0.020030045067601403,0.0035052578868302454,0.02503755633450175,,0.02754131196795193,0.00200300450676014,0.011016524787180772,0.1812719078617927,0.011517275913870806,0.0025037556334501754,0.000500751126690035,0.013520280420630946,0.035553329994992486,,0.022533800701051578,,,0.006009013520280421,0.0025037556334501754,0.028042063094641963,0.006509764646970456,0.15823735603405106,0.0015022533800701052,0.05157736604907361,0.00801201802704056,0.0030045067601402104,0.007010515773660491,0.15022533800701052,0.0025037556334501754
인천광역시,0.049978822532825075,0.10991105463786531,0.010800508259212199,0.04087251164760695,0.010588733587462939,0.012706480304955527,0.008259212198221092,0.031130876747141042,,0.01927149512918255,0.005717916137229987,0.011012282930961457,0.2121982210927573,0.007200338839474798,0.008894536213468869,0.0010588733587462938,0.02075391783142736,0.0349428208386277,,0.030707327403642525,,,0.02477763659466328,0.0044472681067344345,0.010800508259212199,0.011012282930961457,0.15141889030072003,0.0033883947479881405,0.00021177467174925878,0.01588310038119441,0.005929690808979246,0.013553578991952562,0.13172384582803898,0.0008470986869970351
전라남도,0.058622828784119105,0.12810173697270472,0.020161290322580645,0.023883374689826303,0.005583126550868486,0.007444168734491315,0.0021712158808933004,0.013337468982630272,,0.02512406947890819,0.004342431761786601,0.009925558312655087,0.25155086848635233,0.00620347394540943,0.002791563275434243,0.0021712158808933004,0.013027295285359801,0.04745657568238213,,0.01054590570719603,,0.0006203473945409429,0.010856079404466501,0.008995037220843672,0.020471464019851116,0.003101736972704715,0.13678660049627792,0.0009305210918114144,0.0024813895781637717,0.006513647642679901,0.008684863523573201,0.033498759305210915,0.13337468982630274,0.0012406947890818859
전라북도,0.053929121725731895,0.12994350282485875,0.017205957883923987,0.028505392912172575,0.004879301489470981,0.01078582434514638,0.0015408320493066256,0.025166923472008218,,0.02157164869029276,0.004108885464817668,0.008988186954288649,0.22136620441705188,0.00667693888032871,0.008988186954288649,0.0025680534155110425,0.009501797637390858,0.044170518746789934,0.0005136106831022085,0.017719568567026195,,0.00025680534155110427,0.012069851052901901,0.007447354904982024,0.02234206471494607,0.00847457627118644,0.12917308680020545,0.001027221366204417,0.0017976373908577298,0.007704160246533128,0.00847457627118644,0.03210066769388803,0.14894709809964046,0.002054442732408834
제주특별자치도,0.06118721461187215,0.11506849315068493,0.0091324200913242,0.04200913242009133,0.0091324200913242,0.011872146118721462,0.0073059360730593605,0.025570776255707764,,0.03287671232876712,0.0073059360730593605,0.014611872146118721,0.20639269406392693,0.00821917808219178,0.00821917808219178,,0.0182648401826484,0.04657534246575343,0.0009132420091324201,0.033789954337899546,,,0.010958904109589041,0.0036529680365296802,0.015525114155251141,0.006392694063926941,0.14520547945205478,0.0018264840182648401,0.0027397260273972603,0.0136986301369863,0.0009132420091324201,0.00821917808219178,0.12876712328767123,0.0036529680365296802
충청남도,0.058412520961430965,0.1377864728898826,0.017048630519843486,0.03661263275572946,0.005310229178311906,0.0092230296254891,0.006148686416992733,0.01593068753493572,,0.02990497484628284,0.004192286193404136,0.007825600894354388,0.2319731693683622,0.007546115148127445,0.005869200670765791,0.002794857462269424,0.007825600894354388,0.04024594745667971,,0.014533258803801007,,,0.006428172163219676,0.004192286193404136,0.020961430967020682,0.005869200670765791,0.12493012856344327,0.0022358859698155395,0.006428172163219676,0.0047512576858580215,0.0030743432084963667,0.039686975964225824,0.1416992733370598,0.0005589714924538849
충청북도,0.05827418752334703,0.14942099364960776,0.011953679491968622,0.028016436309301458,0.0056032872618602915,0.010833022039596563,0.004856182293612252,0.023533806499813223,,0.028389988793425476,0.005976839745984311,0.007471049682480389,0.24206200971236458,0.007844602166604408,0.011206574523720583,0.0018677624206200972,0.008965259618976467,0.04146432573776616,,0.017183414269704895,,0.00037355248412401944,0.010085917071348524,0.0037355248412401943,0.016809861785580874,0.011206574523720583,0.1057153530070975,0.0014942099364960778,0.010459469555472544,0.0056032872618602915,0.0022413149047441168,0.02129249159506911,0.1441912588718715,0.0018677624206200972
